,position,img,count,mean,frame,mask,nuclei_count,Hours,total_int/cell#,count/cell_count,dose,beads,replicate
44,XY004,expt1003_TRITC_XY004_T06.tif,273081,4936.3992002372925,6,expt1003_Cy5_XY004_T06_cp_masks.tif,162,2.5,8321215.0,1685.6851851851852,0,True,2
45,XY004,expt1003_TRITC_XY004_T07.tif,299912,5167.003230947745,7,expt1003_Cy5_XY004_T07_cp_masks.tif,159,3.0,9746202.974842768,1886.238993710692,0,True,2
46,XY004,expt1003_TRITC_XY004_T08.tif,325139,5428.515561036972,8,expt1003_Cy5_XY004_T08_cp_masks.tif,153,3.5,11536092.294117646,2125.091503267974,0,True,2
47,XY004,expt1003_TRITC_XY004_T09.tif,352610,5709.97502056096,9,expt1003_Cy5_XY004_T09_cp_masks.tif,148,4.0,13604015.486486487,2382.5,0,True,2
48,XY004,expt1003_TRITC_XY004_T10.tif,386166,5988.946680961038,10,expt1003_Cy5_XY004_T10_cp_masks.tif,145,4.5,15949845.406896552,2663.213793103448,0,True,2
49,XY004,expt1003_TRITC_XY004_T11.tif,423407,6215.96684750134,11,expt1003_Cy5_XY004_T11_cp_masks.tif,139,5.0,18934416.366906475,3046.093525179856,0,True,2
50,XY004,expt1003_TRITC_XY004_T12.tif,454146,6697.496736732241,12,expt1003_Cy5_XY004_T12_cp_masks.tif,142,5.5,21420009.528169014,3198.211267605634,0,True,2
51,XY004,expt1003_TRITC_XY004_T13.tif,495530,6964.563911367626,13,expt1003_Cy5_XY004_T13_cp_masks.tif,143,6.0,24133918.566433568,3465.244755244755,0,True,2
52,XY005,expt1003_TRITC_XY005_T01.tif,109,1557.4770642201836,1,expt1003_Cy5_XY005_T01_cp_masks.tif,150,0.0,1131.7666666666669,0.7266666666666667,0,True,2
53,XY005,expt1003_TRITC_XY005_T02.tif,35080,2694.735604332953,2,expt1003_Cy5_XY005_T02_cp_masks.tif,152,0.5,621916.6118421053,230.7894736842105,0,True,2
54,XY005,expt1003_TRITC_XY005_T03.tif,126232,3374.6010916407886,3,expt1003_Cy5_XY005_T03_cp_masks.tif,153,1.0,2784200.294117647,825.0457516339869,0,True,2
55,XY005,expt1003_TRITC_XY005_T04.tif,196752,3937.3224414491337,4,expt1003_Cy5_XY005_T04_cp_masks.tif,153,1.5,5063242.2549019605,1285.9607843137255,0,True,2
56,XY005,expt1003_TRITC_XY005_T05.tif,250143,4379.5967946334695,5,expt1003_Cy5_XY005_T05_cp_masks.tif,152,2.0,7207404.480263158,1645.6776315789473,0,True,2
57,XY005,expt1003_TRITC_XY005_T06.tif,295974,4890.018187408354,6,expt1003_Cy5_XY005_T06_cp_masks.tif,156,2.5,9277681.044871794,1897.2692307692307,0,True,2
58,XY005,expt1003_TRITC_XY005_T07.tif,326831,5230.4273248253685,7,expt1003_Cy5_XY005_T07_cp_masks.tif,157,3.0,10888317.152866242,2081.7261146496817,0,True,2
59,XY005,expt1003_TRITC_XY005_T08.tif,356452,5504.5899980923095,8,expt1003_Cy5_XY005_T08_cp_masks.tif,155,3.5,12658852.348387096,2299.690322580645,0,True,2
60,XY005,expt1003_TRITC_XY005_T09.tif,382714,5775.82774604535,9,expt1003_Cy5_XY005_T09_cp_masks.tif,156,4.0,14169808.58974359,2453.294871794872,0,True,2
61,XY005,expt1003_TRITC_XY005_T10.tif,410312,6077.791512312581,10,expt1003_Cy5_XY005_T10_cp_masks.tif,154,4.5,16193446.694805196,2664.3636363636365,0,True,2
62,XY005,expt1003_TRITC_XY005_T11.tif,434442,6345.2452663416525,11,expt1003_Cy5_XY005_T11_cp_masks.tif,151,5.0,18255900.953642383,2877.099337748344,0,True,2
63,XY005,expt1003_TRITC_XY005_T12.tif,464956,6566.010469807896,12,expt1003_Cy5_XY005_T12_cp_masks.tif,155,5.5,19696167.509677418,2999.716129032258,0,True,2
64,XY005,expt1003_TRITC_XY005_T13.tif,494476,6774.293650247939,13,expt1003_Cy5_XY005_T13_cp_masks.tif,152,6.0,22037668.59868421,3253.1315789473683,0,True,2
65,XY006,expt1003_TRITC_XY006_T01.tif,0,,1,expt1003_Cy5_XY006_T01_cp_masks.tif,140,0.0,,0.0,0,True,2
66,XY006,expt1003_TRITC_XY006_T02.tif,58893,2852.290187288812,2,expt1003_Cy5_XY006_T02_cp_masks.tif,141,0.5,1191346.9929078014,417.6808510638298,0,True,2
67,XY006,expt1003_TRITC_XY006_T03.tif,143934,3641.633540372671,3,expt1003_Cy5_XY006_T03_cp_masks.tif,142,1.0,3691231.563380282,1013.6197183098592,0,True,2
68,XY006,expt1003_TRITC_XY006_T04.tif,204267,4278.947509876779,4,expt1003_Cy5_XY006_T04_cp_masks.tif,141,1.5,6198920.361702127,1448.7021276595744,0,True,2
69,XY006,expt1003_TRITC_XY006_T05.tif,253576,4816.018739943844,5,expt1003_Cy5_XY006_T05_cp_masks.tif,137,2.0,8914064.0,1850.9197080291967,0,True,2
70,XY006,expt1003_TRITC_XY006_T06.tif,288332,5324.672544150493,6,expt1003_Cy5_XY006_T06_cp_masks.tif,141,2.5,10888464.425531914,2044.90780141844,0,True,2
71,XY006,expt1003_TRITC_XY006_T07.tif,321739,5478.434439095043,7,expt1003_Cy5_XY006_T07_cp_masks.tif,138,3.0,12772652.304347826,2331.442028985507,0,True,2
72,XY006,expt1003_TRITC_XY006_T08.tif,352913,5687.111562906439,8,expt1003_Cy5_XY006_T08_cp_masks.tif,134,3.5,14978026.888059702,2633.679104477612,0,True,2
73,XY006,expt1003_TRITC_XY006_T09.tif,368984,6195.988216291221,9,expt1003_Cy5_XY006_T09_cp_masks.tif,131,4.0,17452065.00763359,2816.671755725191,0,True,2
74,XY006,expt1003_TRITC_XY006_T10.tif,394330,6450.86287119925,10,expt1003_Cy5_XY006_T10_cp_masks.tif,128,4.5,19873193.40625,3080.703125,0,True,2
75,XY006,expt1003_TRITC_XY006_T11.tif,440739,6605.019210916211,11,expt1003_Cy5_XY006_T11_cp_masks.tif,125,5.0,23288716.496,3525.912,0,True,2
76,XY006,expt1003_TRITC_XY006_T12.tif,471121,7065.395641459413,12,expt1003_Cy5_XY006_T12_cp_masks.tif,121,5.5,27509555.8677686,3893.561983471074,0,True,2
77,XY006,expt1003_TRITC_XY006_T13.tif,498749,7431.381165676523,13,expt1003_Cy5_XY006_T13_cp_masks.tif,128,6.0,28956202.5390625,3896.4765625,0,True,2
78,XY007,expt1003_TRITC_XY007_T01.tif,200,1728.625,1,expt1003_Cy5_XY007_T01_cp_masks.tif,134,0.0,2580.037313432836,1.492537313432836,0,True,2
79,XY007,expt1003_TRITC_XY007_T02.tif,52497,2980.9106806103205,2,expt1003_Cy5_XY007_T02_cp_masks.tif,134,0.5,1167827.3731343283,391.7686567164179,0,True,2
80,XY007,expt1003_TRITC_XY007_T03.tif,128627,3693.150971413467,3,expt1003_Cy5_XY007_T03_cp_masks.tif,139,1.0,3417546.2589928056,925.3741007194244,0,True,2
81,XY007,expt1003_TRITC_XY007_T04.tif,184298,4298.136442066653,4,expt1003_Cy5_XY007_T04_cp_masks.tif,139,1.5,5698834.172661871,1325.8848920863309,0,True,2
82,XY007,expt1003_TRITC_XY007_T05.tif,217761,4838.100945532028,5,expt1003_Cy5_XY007_T05_cp_masks.tif,136,2.0,7746688.970588235,1601.1838235294117,0,True,2
83,XY007,expt1003_TRITC_XY007_T06.tif,249438,5305.398423656379,6,expt1003_Cy5_XY007_T06_cp_masks.tif,136,2.5,9730646.852941176,1834.1029411764705,0,True,2
84,XY007,expt1003_TRITC_XY007_T07.tif,293779,5565.269447441785,7,expt1003_Cy5_XY007_T07_cp_masks.tif,141,3.0,11595455.978723409,2083.5390070921985,0,True,2
85,XY007,expt1003_TRITC_XY007_T08.tif,327159,5776.09884490416,8,expt1003_Cy5_XY007_T08_cp_masks.tif,144,3.5,13122935.569444444,2271.9375,0,True,2
86,XY007,expt1003_TRITC_XY007_T09.tif,371476,6032.713860383982,9,expt1003_Cy5_XY007_T09_cp_masks.tif,136,4.0,16478003.044117646,2731.4411764705883,0,True,2
87,XY007,expt1003_TRITC_XY007_T10.tif,402173,6513.660668418815,10,expt1003_Cy5_XY007_T10_cp_masks.tif,138,4.5,18982742.4057971,2914.2971014492755,0,True,2
